datetime,temp,humidity,windspeed,conditions,recommended_outfit
2023-12-01,-4.4,96.2,14.4,"Snow, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-02,-5.4,96.6,14.4,Overcast,"Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-03,-5.3,92.4,28.8,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-04,-5.5,92.1,19.8,"Snow, Partially cloudy","Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-05,-5.1,93.4,14.4,"Snow, Partially cloudy","Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-06,-5.5,93.9,16.2,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-07,-6.3,88.3,18.0,Overcast,"Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-08,-6.8,91.4,14.4,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-09,-5.6,96.1,16.2,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2023-12-10,-4.7,96.8,23.4,"Snow, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-11,-3.0,97.7,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-12,-0.6,99.3,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-13,0.1,99.9,10.8,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-14,-1.0,98.1,18.0,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-15,-2.1,89.9,25.2,"Snow, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-16,-1.3,98.0,16.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-17,3.2,99.1,27.0,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-18,5.0,98.8,28.8,"Rain, Overcast",Теплая одежда и дождевик
2023-12-19,4.7,98.9,21.6,"Rain, Overcast",Теплая одежда и дождевик
2023-12-20,4.1,98.3,16.2,"Rain, Overcast",Теплая одежда и дождевик
2023-12-21,1.8,94.8,28.8,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-22,1.6,97.0,34.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-23,-0.3,94.9,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-24,-0.4,89.8,25.2,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-25,1.3,90.8,41.4,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-26,2.3,88.5,39.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-27,1.8,88.0,36.0,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-28,0.0,86.5,23.4,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2023-12-29,4.0,94.5,23.4,"Rain, Overcast",Теплая одежда и дождевик
2023-12-30,4.6,93.9,23.4,"Rain, Partially cloudy",Теплая одежда и дождевик
2023-12-31,1.4,88.8,25.2,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-01,-2.3,81.1,21.6,Partially cloudy,Теплая куртка и шарф
2024-01-02,-9.0,79.6,25.2,Partially cloudy,"Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-03,-12.0,82.0,28.8,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-04,-11.0,82.5,21.6,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
